01:42:35:907085|0061-00001:PSH::VarName[security_level],VarValue[0],Type[3],Desc[]
01:42:35:907171|0080-00001:PSH::VarName[adaptlog.mindiskthroughput],VarValue[50000000],Type[3],Desc[]
01:42:35:907193|0058-00001:PSH::VarName[dlocalscript],VarValue[],Type[3],Desc[]
01:42:35:907209|0060-00001:PSH::VarName[audit_journal],VarValue[1],Type[3],Desc[]
01:42:35:907225|0081-00001:PSH::VarName[trace_dt],VarValue[10],Type[3],Desc[Data Transfer trace level]
01:42:35:907270|0060-00001:PSH::VarName[stack_on_stop],VarValue[0],Type[3],Desc[]
01:42:35:907293|0058-00001:PSH::VarName[dtflushtime],VarValue[2],Type[3],Desc[]
01:42:35:907307|0057-00001:PSH::VarName[dtsyncsend],VarValue[0],Type[3],Desc[]
01:42:35:907322|0070-00001:PSH::VarName[applicationlogsthreadid],VarValue[1],Type[3],Desc[]
01:42:35:907335|0066-00001:PSH::VarName[keystore.server.path],VarValue[],Type[3],Desc[]
01:42:35:907348|0060-00001:PSH::VarName[listenbacklog],VarValue[0],Type[3],Desc[]
01:42:35:907387|0058-00001:PSH::VarName[dinputscript],VarValue[],Type[3],Desc[]
01:42:35:907405|0063-00001:PSH::VarName[e2enative.enable],VarValue[1],Type[3],Desc[]
01:42:35:907421|0055-00001:PSH::VarName[dblogerr],VarValue[0],Type[3],Desc[]
01:42:35:907529|0058-00001:PSH::VarName[debug.supply],VarValue[],Type[3],Desc[]
01:42:35:907563|0058-00001:PSH::VarName[tcp_nodelay],VarValue[1],Type[3],Desc[]
01:42:35:907575|0062-00001:PSH::VarName[eslib.pool_size],VarValue[4],Type[3],Desc[]
01:42:35:907584|0052-00001:PSH::VarName[server],VarValue[],Type[3],Desc[]
01:42:35:907592|0060-00001:PSH::VarName[logsoutput],VarValue[file],Type[3],Desc[]
01:42:35:907891|0054-00001:PSH::VarName[wwwport],VarValue[0],Type[3],Desc[]
01:42:35:907932|0072-00001:PSH::VarName[publish_include_originator],VarValue[],Type[3],Desc[]
01:42:35:907944|0070-00001:PSH::VarName[adaptlog.maxsyncwait],VarValue[2000],Type[3],Desc[]
01:42:35:907953|0060-00001:PSH::VarName[MULTI_INSTANCE],VarValue[],Type[3],Desc[]
01:42:35:907972|0057-00001:PSH::VarName[USER],VarValue[unknown],Type[3],Desc[]
01:42:35:907980|0068-00001:PSH::VarName[debug],VarValue[100],Type[3],Desc[Trace on files]
01:42:35:907986|0061-00001:PSH::VarName[publish_exclude],VarValue[],Type[3],Desc[]
01:42:35:907992|0051-00001:PSH::VarName[DBDIR],VarValue[],Type[3],Desc[]
01:42:35:907998|0059-00001:PSH::VarName[userecordset],VarValue[0],Type[3],Desc[]
01:42:35:908004|0064-00001:PSH::VarName[ultra_low_latency],VarValue[0],Type[3],Desc[]
01:42:35:908010|0055-00001:PSH::VarName[ctimeout],VarValue[5],Type[3],Desc[]
